intern_id,course_id,rating
1,C003,5
1,C016,2
1,C006,4
1,C020,3
1,C004,2
1,C014,3
1,C024,1
1,C021,3
1,C009,4
1,C018,2
1,C007,3
1,C005,5
1,C026,5
1,C013,4
1,C028,5
2,C028,4
2,C011,5
2,C002,5
2,C015,2
2,C014,2
2,C012,5
2,C022,5
2,C024,5
2,C027,5
2,C005,5
2,C006,2
2,C019,5
2,C017,4
3,C011,4
3,C029,5
3,C024,5
3,C004,2
3,C012,1
3,C020,5
3,C030,5
3,C008,2
3,C023,3
4,C004,4
4,C002,5
4,C019,3
4,C029,5
4,C030,2
4,C028,3
4,C003,5
4,C020,4
4,C011,2
5,C019,4
5,C026,5
5,C027,5
5,C014,3
5,C030,5
5,C012,5
5,C006,1
5,C018,2
5,C007,5
5,C004,5
5,C023,2
5,C003,4
5,C028,4
5,C005,3
6,C009,2
6,C030,4
6,C021,5
6,C008,2
6,C019,2
6,C014,4
6,C011,5
6,C023,3
6,C001,4
6,C027,4
6,C018,4
6,C017,4
6,C025,4
6,C007,5
6,C024,3
7,C016,4
7,C022,1
7,C029,2
7,C003,4
7,C019,1
7,C020,5
7,C012,5
7,C005,2
7,C004,3
7,C024,2
8,C016,5
8,C008,5
8,C001,5
8,C009,4
8,C025,1
8,C010,3
8,C020,1
8,C004,3
8,C021,1
8,C013,5
8,C005,5
8,C014,1
8,C029,5
8,C006,5
8,C027,5
9,C007,3
9,C016,3
9,C021,2
9,C010,4
9,C013,3
9,C028,5
9,C005,2
9,C026,5
9,C008,5
9,C012,2
10,C020,5
10,C007,5
10,C010,3
10,C024,4
10,C015,3
10,C013,3
10,C006,2
10,C026,2
10,C017,4
11,C009,5
11,C016,5
11,C030,3
11,C025,2
11,C019,5
11,C020,4
11,C012,5
11,C022,4
11,C006,5
12,C027,4
12,C019,3
12,C004,5
12,C012,3
12,C022,5
12,C003,2
12,C018,5
12,C024,5
12,C011,5
12,C002,3
13,C011,3
13,C004,2
13,C022,5
13,C023,2
13,C003,3
13,C012,2
13,C001,5
13,C026,5
13,C020,3
13,C014,4
13,C017,4
13,C009,5
14,C014,1
14,C024,4
14,C005,5
14,C027,2
14,C007,3
14,C028,4
14,C020,5
14,C002,3
14,C012,4
14,C023,1
14,C006,3
14,C010,5
14,C003,5
14,C029,2
14,C001,5
15,C011,4
15,C020,4
15,C026,4
15,C001,4
15,C029,5
15,C022,3
15,C025,2
15,C028,5
15,C014,2
15,C006,4
16,C013,1
16,C009,5
16,C003,3
16,C026,4
16,C017,5
16,C022,1
16,C002,4
16,C006,4
16,C011,2
16,C014,5
16,C021,1
17,C023,5
17,C026,4
17,C018,4
17,C030,4
17,C007,3
17,C010,2
17,C002,5
17,C022,3
17,C029,5
17,C008,4
17,C017,3
17,C013,5
17,C011,2
17,C003,2
17,C028,5
18,C012,1
18,C020,5
18,C008,2
18,C002,3
18,C011,4
18,C003,1
18,C005,1
18,C025,5
18,C029,5
18,C010,2
18,C016,2
18,C009,2
18,C004,3
18,C021,4
18,C018,5
19,C007,3
19,C008,3
19,C001,4
19,C027,2
19,C018,3
19,C028,5
19,C023,3
19,C002,5
19,C020,2
19,C029,2
19,C019,2
19,C004,3
20,C026,5
20,C012,5
20,C017,1
20,C021,4
20,C001,5
20,C007,3
20,C028,5
20,C025,1
20,C023,3
20,C002,4
20,C027,4
21,C021,1
21,C015,2
21,C007,5
21,C027,4
21,C009,2
21,C024,5
21,C011,2
21,C003,4
21,C020,5
21,C023,3
21,C029,3
21,C008,2
21,C004,2
21,C010,3
22,C007,5
22,C011,1
22,C008,4
22,C022,2
22,C017,4
22,C005,3
22,C004,3
22,C010,3
22,C002,3
22,C001,5
22,C014,2
23,C016,1
23,C021,5
23,C007,3
23,C004,4
23,C005,4
23,C019,2
23,C017,4
23,C024,2
23,C006,5
23,C028,4
23,C008,5
23,C015,5
23,C013,2
23,C030,2
24,C022,3
24,C009,3
24,C023,3
24,C018,4
24,C002,3
24,C020,1
24,C004,3
24,C025,2
24,C007,2
24,C024,3
24,C030,5
24,C027,5
24,C012,5
24,C021,1
25,C007,5
25,C024,5
25,C006,3
25,C023,2
25,C013,3
25,C019,3
25,C029,4
25,C012,1
25,C001,1
26,C030,1
26,C021,5
26,C009,5
26,C018,2
26,C001,5
26,C028,5
26,C015,2
26,C027,2
26,C023,3
26,C022,4
26,C004,5
26,C010,5
27,C024,3
27,C004,2
27,C009,5
27,C010,3
27,C012,5
27,C019,1
27,C015,5
27,C017,3
27,C003,4
27,C016,3
27,C018,5
27,C006,5
27,C027,4
27,C008,5
27,C020,3
28,C017,5
28,C027,5
28,C021,5
28,C010,2
28,C030,5
28,C001,2
28,C025,5
28,C015,3
28,C012,3
29,C010,4
29,C014,4
29,C007,4
29,C021,5
29,C024,3
29,C003,4
29,C017,2
29,C012,5
29,C009,2
29,C004,3
29,C019,4
30,C015,5
30,C010,5
30,C014,5
30,C005,4
30,C011,5
30,C027,4
30,C012,4
30,C020,3
31,C012,3
31,C023,2
31,C028,5
31,C016,5
31,C004,4
31,C010,4
31,C019,2
31,C002,5
31,C009,2
31,C006,5
31,C013,4
31,C022,3
31,C030,1
31,C011,1
32,C026,2
32,C001,4
32,C022,4
32,C025,5
32,C012,2
32,C019,4
32,C013,2
32,C024,4
32,C016,2
32,C007,5
32,C010,5
33,C025,2
33,C011,2
33,C002,4
33,C014,2
33,C004,2
33,C007,2
33,C019,4
33,C012,2
33,C020,5
33,C003,3
33,C017,4
33,C008,5
33,C024,2
33,C026,3
33,C029,2
34,C015,3
34,C025,3
34,C019,1
34,C029,3
34,C023,5
34,C003,3
34,C010,4
34,C013,4
34,C020,5
34,C017,1
34,C011,4
34,C016,2
34,C026,4
34,C014,3
34,C007,2
35,C029,1
35,C011,5
35,C022,1
35,C003,3
35,C010,5
35,C015,5
35,C007,1
35,C004,5
35,C023,5
35,C021,5
35,C026,3
36,C019,4
36,C014,4
36,C022,5
36,C029,5
36,C021,5
36,C002,1
36,C016,2
36,C015,2
36,C003,5
36,C010,4
36,C026,3
37,C010,5
37,C013,5
37,C006,4
37,C001,5
37,C015,4
37,C022,5
37,C004,2
37,C005,2
37,C028,5
37,C009,3
37,C030,5
37,C011,5
38,C003,3
38,C010,5
38,C029,1
38,C015,2
38,C012,5
38,C014,3
38,C018,2
38,C001,4
38,C016,4
38,C027,3
38,C004,1
38,C002,5
39,C008,4
39,C004,4
39,C017,1
39,C029,5
39,C013,2
39,C030,5
39,C024,1
39,C010,4
39,C025,4
39,C006,3
39,C028,5
39,C015,5
39,C021,5
39,C014,3
40,C005,3
40,C008,4
40,C029,2
40,C015,3
40,C030,3
40,C009,5
40,C002,4
40,C020,5
41,C024,3
41,C004,2
41,C016,4
41,C030,2
41,C023,5
41,C019,5
41,C010,4
41,C003,3
41,C018,4
41,C028,4
41,C006,5
41,C025,3
42,C002,5
42,C022,4
42,C014,4
42,C019,3
42,C007,4
42,C012,2
42,C018,3
42,C010,2
42,C008,3
42,C005,5
43,C004,4
43,C021,4
43,C018,3
43,C008,1
43,C013,5
43,C005,5
43,C015,5
43,C027,2
43,C016,3
43,C022,5
43,C020,1
43,C024,5
44,C005,5
44,C014,2
44,C022,1
44,C024,2
44,C028,1
44,C009,5
44,C012,1
44,C025,4
44,C021,2
44,C003,5
45,C016,2
45,C018,3
45,C015,1
45,C010,3
45,C019,4
45,C027,5
45,C009,2
45,C001,3
45,C030,4
45,C017,4
45,C026,4
45,C025,5
45,C008,4
46,C015,3
46,C027,1
46,C004,4
46,C005,3
46,C022,3
46,C021,5
46,C010,5
46,C019,2
46,C023,5
46,C026,3
46,C003,3
46,C014,3
46,C009,5
46,C016,5
46,C008,3
47,C019,1
47,C017,3
47,C006,5
47,C007,5
47,C009,5
47,C004,4
47,C020,3
47,C015,1
47,C026,4
47,C023,5
47,C010,5
47,C028,4
47,C022,5
47,C001,2
48,C012,1
48,C013,2
48,C011,1
48,C023,2
48,C026,2
48,C004,3
48,C027,4
48,C024,4
48,C007,4
48,C019,5
48,C010,5
48,C008,5
48,C009,5
49,C008,3
49,C009,2
49,C003,4
49,C024,5
49,C013,5
49,C027,5
49,C002,5
49,C030,2
49,C019,5
49,C007,1
50,C006,2
50,C003,3
50,C017,1
50,C020,3
50,C023,5
50,C012,5
50,C007,2
50,C001,2
50,C024,3
50,C018,5
50,C027,5
50,C016,1
50,C014,5
50,C028,3
50,C021,3
51,C006,2
51,C027,3
51,C023,4
51,C017,3
51,C019,2
51,C004,5
51,C021,5
51,C013,4
51,C024,2
51,C005,5
51,C030,2
51,C002,4
52,C028,5
52,C026,5
52,C027,5
52,C012,1
52,C015,2
52,C019,1
52,C022,1
52,C021,5
53,C020,5
53,C030,5
53,C016,5
53,C008,3
53,C017,2
53,C010,5
53,C014,2
53,C029,3
53,C004,4
54,C002,5
54,C022,3
54,C023,4
54,C024,2
54,C008,5
54,C013,5
54,C027,4
54,C029,1
54,C018,3
55,C001,4
55,C013,2
55,C027,5
55,C008,1
55,C030,5
55,C003,3
55,C029,4
55,C007,5
55,C002,2
55,C006,1
55,C005,3
55,C021,1
55,C019,3
55,C012,4
55,C026,4
56,C018,4
56,C003,2
56,C019,1
56,C009,4
56,C027,2
56,C006,4
56,C011,3
56,C013,3
56,C029,4
56,C012,2
56,C022,5
56,C016,5
56,C014,2
56,C030,4
57,C008,4
57,C017,1
57,C018,5
57,C009,4
57,C014,5
57,C016,2
57,C005,5
57,C001,4
57,C004,5
57,C026,2
57,C011,4
58,C023,2
58,C011,2
58,C009,3
58,C024,3
58,C022,5
58,C027,2
58,C002,5
58,C030,2
58,C028,2
58,C006,3
58,C018,3
58,C015,2
58,C010,3
58,C017,1
58,C012,3
59,C007,1
59,C028,5
59,C010,4
59,C020,5
59,C006,4
59,C012,4
59,C029,1
59,C030,2
59,C018,5
59,C019,2
59,C027,5
60,C012,3
60,C021,2
60,C008,4
60,C022,3
60,C016,5
60,C029,5
60,C024,2
60,C001,5
60,C020,4
61,C006,5
61,C013,5
61,C030,4
61,C029,1
61,C024,5
61,C022,3
61,C012,5
61,C025,4
61,C007,4
61,C026,1
61,C027,5
61,C015,3
61,C014,5
61,C019,5
62,C024,5
62,C009,3
62,C007,4
62,C029,1
62,C008,5
62,C028,3
62,C011,2
62,C017,5
62,C014,1
62,C001,3
62,C015,2
62,C018,5
62,C013,2
62,C016,5
62,C002,4
63,C005,4
63,C001,5
63,C021,1
63,C002,5
63,C029,2
63,C012,5
63,C015,4
63,C016,4
63,C014,4
63,C013,2
63,C020,4
63,C010,1
64,C010,4
64,C004,5
64,C028,1
64,C012,4
64,C027,4
64,C020,2
64,C025,5
